fragment_id,count,median,std,mean
frag_000b50d76d82baa5,10,-1.5350000000000001,0.8058790231790376,-1.547
frag_001446c7deb9eb1c,24,-0.033605150699999996,1.678331669538148,-0.7454351018208335
frag_001b430197156c01,1,-1.5043501961,0.0,-1.5043501961
frag_001ea7d3a5f68a5a,1,-2.1618,0.0,-2.1618
frag_00406fb1416382e1,1,-2.0555103791,0.0,-2.0555103791
frag_00425a3c66a89959,1,-3.84,0.0,-3.84
frag_004312dd04dd42fb,1,-0.06,0.0,-0.06
frag_004dde6ad554561e,1,-1.2899752166,0.0,-1.2899752166
frag_00782543ddc75702,1,-1.1029,0.0,-1.1029
frag_007bceb1ebad43ee,1,-1.64,0.0,-1.64
frag_008de7a00028a911,1,-1.1097,0.0,-1.1097
frag_008f481e8cad4ae4,1,-0.4012,0.0,-0.4012
frag_00ae34839434caf6,1,-1.63,0.0,-1.63
frag_00af6397607c89b2,1,-2.46,0.0,-2.46
frag_00b7734eece9f26e,1,-0.954573972,0.0,-0.954573972
frag_00bba5208dba561b,1,-1.5916,0.0,-1.5916
frag_00bd5ba845cb949d,1,-0.86,0.0,-0.86
frag_00c7078885e6f102,212,-3.4339694399000003,2.151409292008651,-3.8517281283122644
frag_00ca6f752b8c29a4,1,-0.43,0.0,-0.43
frag_00e00482c0083aa0,1,-2.8887982833,0.0,-2.8887982833
frag_00e2b3ea3a4cd4a5,1,-8.4806,0.0,-8.4806
frag_00eece264976fe08,1,-2.0439,0.0,-2.0439
frag_00f1f9d5201475da,1,-1.2913,0.0,-1.2913
frag_00f40095f90ad93e,1,-1.5636654662,0.0,-1.5636654662
frag_011e7bf5a27bbc9c,1,-1.7421953353,0.0,-1.7421953353
frag_013f5f773578d33b,1,0.1927727267,0.0,0.1927727267
frag_01478710431296d7,1,-2.5570799155,0.0,-2.5570799155
frag_0149bf5c308b387c,4,-3.4307,2.1120911750857254,-3.535975
frag_014d1d81844d7278,1,-3.22,0.0,-3.22
frag_017444ae71cc6140,2,-5.8008500000000005,0.31915000000000004,-5.8008500000000005
frag_0179e705ae10bc38,1,-8.3339,0.0,-8.3339
frag_017c268315810f04,1,-3.2959,0.0,-3.2959
frag_0183a0c9991d473e,1,-6.0107803553,0.0,-6.0107803553
frag_01cd3ddfb6528a7b,1,-1.9142373478,0.0,-1.9142373478
frag_01d35334637ee52c,1,-4.8438678664,0.0,-4.8438678664
frag_01daf330cee78860,1,-3.3681,0.0,-3.3681
frag_01db2fb1b162f513,8,-3.55244870835,1.0865582520084984,-3.8105133908125
frag_01e8d5fc6a534910,1,-2.1031,0.0,-2.1031
frag_0209ecacd5f23a63,1,-0.6794075026,0.0,-0.6794075026
frag_020d10d8e367f310,1,0.8470942954,0.0,0.8470942954
frag_020eb6589830ad18,2,-0.5781,0.0,-0.5781
frag_023cc147945046db,1,-3.0203942687,0.0,-3.0203942687
frag_0252f05d549699b5,2,-1.741,0.6389999999999999,-1.741
frag_0260b75af246ad5c,1,-5.432168875,0.0,-5.432168875
frag_026730f4c8ff41de,1,-0.18,0.0,-0.18
frag_026bdabb8f5a707e,1,-1.7882436903,0.0,-1.7882436903
frag_026db832e7cef8c2,1,-0.7953,0.0,-0.7953
frag_028fa92957fa58fd,1,0.4924399529,0.0,0.4924399529
frag_02985bf546d82f28,56,-4.0638,2.0545831750391503,-4.408830388351785
frag_029dddac809a866d,1,-1.32,0.0,-1.32
frag_02b3315726994042,1,-2.3496052546,0.0,-2.3496052546
frag_02be71a61659136f,1,-7.5632144901,0.0,-7.5632144901
frag_02cb66af8b1c01ea,2,-2.257,0.2866000000000001,-2.257
frag_02e544fd5b98da0d,1,-1.24,0.0,-1.24
frag_030d2d84e97f3e5a,1,-0.76,0.0,-0.76
frag_0311d9bbd88cd85b,1,-3.2913006621,0.0,-3.2913006621
frag_0321152262677d6e,1,0.0682018165,0.0,0.0682018165
frag_0324ee88effc8d45,1,-4.36,0.0,-4.36
frag_0324eff3d6b24292,1,-5.6475,0.0,-5.6475
frag_032d2a7deef61fca,1,-5.6832424476,0.0,-5.6832424476
frag_0336cdf641c1aa76,1,-4.6808820955,0.0,-4.6808820955
frag_034d1fcf5c208a82,1,-2.2868,0.0,-2.2868
frag_034dea4fc73b4ac2,1,-5.4491260218,0.0,-5.4491260218
frag_03539cf37710cbeb,105,-0.4745,1.96584147344006,-0.9389370168038095
frag_0359166913a36abf,1,-2.5301,0.0,-2.5301
frag_035cc226cf34f4a5,1,-7.396502026799999,0.0,-7.396502026799999
frag_0371ce3d085a4f33,1,-3.94,0.0,-3.94
frag_03761e2d2d390937,1,-1.7209723549,0.0,-1.7209723549
frag_037d88ae768b0516,1,-2.8302990647,0.0,-2.8302990647
frag_039f35aec2a61832,2,-1.07935,0.42015,-1.07935
frag_03b70a3c81e8f93e,1,-1.8684,0.0,-1.8684
frag_03bf20e8febd2e8d,1,-2.5149437885,0.0,-2.5149437885
frag_03e0259756b2de1c,2,-4.29275,0.07725000000000026,-4.29275
frag_0405f1a2f5dab3cd,1,0.142087324,0.0,0.142087324
frag_0408f701565246aa,1,-1.5687,0.0,-1.5687
frag_0424d446a8f4380c,1,-0.8829,0.0,-0.8829
frag_04471fe1811a25a2,1,0.727886015,0.0,0.727886015
frag_044944300e201d8b,1,0.5110430921,0.0,0.5110430921
frag_044c8597a72e9f17,6,-7.763060853900001,2.017072596494194,-6.990263025083333
frag_044e8cdc5c279bb8,3,-2.7615135856,2.2425248493777445,-2.688321908266667
frag_04587cda8c304564,1,-2.67,0.0,-2.67
frag_04602680929e069e,1,1.1186,0.0,1.1186
frag_0468df29d75f6b07,1,-4.909505216,0.0,-4.909505216
frag_046a43b0d95a6e4a,1,-1.9712,0.0,-1.9712
frag_0474f48ee71af69f,1,1.2286477338,0.0,1.2286477338
frag_0481aa662fd6854f,1,-7.4056684463,0.0,-7.4056684463
frag_0491e47b1000bc4c,1,-0.1451393328,0.0,-0.1451393328
frag_04927bf562ed3e02,1,0.5121363664999999,0.0,0.5121363664999999
frag_04ab00fa38298f53,1,-4.8795513261000005,0.0,-4.8795513261000005
frag_04ba485e35a8476c,2,-1.7027128240999998,0.06044677240000007,-1.7027128240999998
frag_04bbaded6a6d4d6a,1,0.924,0.0,0.924
frag_04d6baebd0ecd6c1,1,1.0749962334,0.0,1.0749962334
frag_04da719b4e40aab4,1,1.0406,0.0,1.0406
frag_04dbb04b883b4ffd,1,-3.03,0.0,-3.03
frag_04f5289dbc0622ea,1,-3.81,0.0,-3.81
frag_04f7e73a2df8fbd9,1,-4.23,0.0,-4.23
frag_0503bbec22b7378e,1,-3.0041810563,0.0,-3.0041810563
frag_0526965ee3df5803,1,-1.3774493615,0.0,-1.3774493615
frag_0529f313dc48853a,1,-1.747,0.0,-1.747
frag_05321ea4af9aa7f5,1,-2.7896,0.0,-2.7896
frag_053233a7f6731548,1,-4.08,0.0,-4.08
frag_053dabb2fcf20c0a,1,-0.8254112341,0.0,-0.8254112341
frag_054bc1d034d30198,1,-4.16,0.0,-4.16
frag_0550b7e251e936eb,1,-3.1023856768,0.0,-3.1023856768
frag_0558f4950afeb324,1,0.927470714,0.0,0.927470714
frag_0573afa995ffae62,1,-0.1369999999999999,0.0,-0.1369999999999999
frag_059f408ee4bda5d3,1,-2.6816,0.0,-2.6816
frag_05c46183e22fd3f9,1,-3.9794501756,0.0,-3.9794501756
frag_05e49bd318346a21,6,-5.1818537381,2.0809962074371176,-4.137718332483334
frag_05ea8c18c155f046,1,-1.2604846902,0.0,-1.2604846902
frag_05f64b1dc313cab3,2,-2.3925517655500004,0.7925517655500001,-2.3925517655500004
frag_05f91126e51feed5,1,1.07,0.0,1.07
frag_0637d2da73b0b2e5,1,-4.2822,0.0,-4.2822
frag_064b5b2dfa0481a8,1,1.7009159091,0.0,1.7009159091
frag_0676cf6f1c5c0c09,1,-0.121,0.0,-0.121
frag_067ef6b0a4537634,1,1.356,0.0,1.356
frag_0682c3dbd83a1902,1,-2.2628407967,0.0,-2.2628407967
frag_0687bb903ff457b1,1,0.991,0.0,0.991
frag_0687caeb9ab8c179,1,-1.7285,0.0,-1.7285
frag_069ca54449256691,1,-0.0504090528,0.0,-0.0504090528
frag_06b47259048b4e2e,5,-6.5970388257,1.897322799663893,-6.83145738526
frag_06c3e6722176e8a8,1,-1.2596984381,0.0,-1.2596984381
frag_06d0266669dce077,1,0.5292955703,0.0,0.5292955703
frag_06ee0737a747bff6,1,-4.5222231174,0.0,-4.5222231174
frag_070b59fdb7c8cda2,1,-2.7435,0.0,-2.7435
frag_0718ae0009d61fcc,15,-3.9266,0.9366047394663815,-3.6503982935933337
frag_0723ab7a7199efad,1,-5.0614595476,0.0,-5.0614595476
frag_074153dc07cb0c89,1,-7.32,0.0,-7.32
frag_0748045d3e548823,8,-4.6182170751000005,1.5334393428624182,-4.1878155849125
frag_0756f13bb23cb77c,2,-1.95849794075,0.3779184281500001,-1.95849794075
frag_0765514f04de118d,8,-4.06165,0.47728913406864804,-4.0344999999999995
frag_076d4c658f59a11b,1,-7.1341930505,0.0,-7.1341930505
frag_0772ce939102b215,2,-4.7259,0.1856,-4.7259
frag_07761e270b69cfae,1,1.2434,0.0,1.2434
frag_0782b2e925cdd335,1,-4.33,0.0,-4.33
frag_0783a7467b30b266,1,-2.2573,0.0,-2.2573
frag_079592ff370476fa,1,-9.0265,0.0,-9.0265
frag_0797839df4961022,8,0.22388379895,1.233349841680846,-0.35701235681250004
frag_079bc65990ff68c6,1,-0.8358,0.0,-0.8358
frag_07a7c4d68d60e520,2,-9.1007531726,1.1339640023000008,-9.1007531726
frag_07ba29b00f7d4694,1,-2.9801,0.0,-2.9801
frag_07c1f9c0b45631d9,1,-2.96,0.0,-2.96
frag_07cd55a1e1a9d951,1,-2.8191677601,0.0,-2.8191677601
frag_07da9b1cba27e55b,1,-8.004,0.0,-8.004
frag_07eed667711642f7,2,-0.29034733134999996,0.14868056914999994,-0.29034733134999996
frag_07f334c28718331e,1,-4.1549,0.0,-4.1549
frag_0802ee62422d832d,1,-0.62,0.0,-0.62
frag_080fd46e874f5ce5,2,-4.2583072500500005,1.2369481858500007,-4.2583072500500005
frag_0817b9d1115e9392,1,-5.8273288792,0.0,-5.8273288792
frag_0819d9e54c160be6,1,-7.155088449400001,0.0,-7.155088449400001
frag_0824f09671464e90,1,-2.68,0.0,-2.68
frag_08330867cd470d9e,2,-3.0963652032000004,2.9020941539000003,-3.0963652032000004
frag_08378d0eb2528f20,1,-5.8485879471,0.0,-5.8485879471
frag_085f3c2b658b15f2,1,-1.8579774272,0.0,-1.8579774272
frag_0860e0183373c6fe,2,-1.0992000000000002,0.20230000000000004,-1.0992000000000002
frag_086c2040e29991ad,1,-7.1886381337000005,0.0,-7.1886381337000005
frag_086f2e6e6c0028fe,1,-3.3522,0.0,-3.3522
frag_0884952f16cae275,1,-3.2102979357,0.0,-3.2102979357
frag_0889ff52e4dff7bd,1,-2.6958,0.0,-2.6958
frag_088a310e0b0c37b5,1,-4.1933811426,0.0,-4.1933811426
frag_088e7ad470db2b9a,1,-1.1548,0.0,-1.1548
frag_088ed339c7b9c466,1,-2.88,0.0,-2.88
frag_0893611a38049b90,1,-2.1472867242,0.0,-2.1472867242
frag_089aa158f64968c1,1,0.3753911904,0.0,0.3753911904
frag_08b3aa85fe8e4876,1,-2.75,0.0,-2.75
frag_08d17780966327d0,1,-1.12,0.0,-1.12
frag_08dc13cb78e884ff,13,-3.5372,2.145677345421882,-3.9500068712692307
frag_08e20fb73bec4624,1,-2.1672,0.0,-2.1672
frag_08ea07a00f5050cc,1,-5.9360261722,0.0,-5.9360261722
frag_08eb63888c4310b1,1,-3.3371,0.0,-3.3371
frag_08f1513e94c5f36f,1,-1.09,0.0,-1.09
frag_08f1a86a74f9b916,1,-2.4833879664,0.0,-2.4833879664
frag_08f4c25a0b503b91,1,-1.8434,0.0,-1.8434
frag_08f70c34f99af897,1,-0.6,0.0,-0.6
frag_08fe43844928b110,1,-1.1748734719,0.0,-1.1748734719
frag_09034809f36e2dc6,3,-4.8580000000000005,0.7037064871095049,-5.2301
frag_09141781eec32488,1,-2.3456971252,0.0,-2.3456971252
frag_091781202ece45a2,1,-0.2374,0.0,-0.2374
frag_0920d2481ef9dc7a,1,-1.1797979201,0.0,-1.1797979201
frag_0927752a5e8d80c9,2,-1.48,0.48,-1.48
frag_0933b3c15c7b3ff3,1,-5.3844,0.0,-5.3844
frag_0942e0948de47ad0,1,-3.6826,0.0,-3.6826
frag_099023ddad3266b6,1,-5.09,0.0,-5.09
frag_09978bbd5d1b38a0,1,-3.5228,0.0,-3.5228
frag_09a475cc68bbbf2f,8,-1.2143119978999999,0.8380447855222097,-1.050302715175
